Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,RightHandIndex3-Joint-Velo-x,RightHandIndex3-Joint-Velo-y,RightHandIndex3-Joint-Velo-z
0,-0.237222,1.10036,0.429662,0,0,0
1,-0.237212,1.10038,0.429656,0,0,0
2,-0.237195,1.10042,0.429674,0,0,0
3,-0.237209,1.10041,0.429708,0,0,0
4,-0.237203,1.10039,0.42975,0,0,0
5,-0.237199,1.10038,0.429839,0,0,0
6,-0.237225,1.10036,0.429963,0,0,0
7,-0.237224,1.10035,0.430061,0,0,0
8,-0.237236,1.10034,0.430139,0,0,0
9,-0.237227,1.10029,0.430192,0,0,0
10,-0.237211,1.10027,0.430243,0,0,0
11,-0.237167,1.10028,0.430283,0,0,0
12,-0.237115,1.10029,0.430306,0,0,0
13,-0.237088,1.1003,0.430314,0,0,0
14,-0.23706,1.10034,0.430346,0,0,0
15,-0.237041,1.10037,0.430355,0,0,0
16,-0.236991,1.10042,0.430436,0,0,0
17,-0.23696,1.10044,0.430491,0,0,0
18,-0.23694,1.10045,0.430559,0,0,0
19,-0.236936,1.10047,0.430596,0,0,0
20,-0.236939,1.10048,0.430619,0,0,0
21,-0.236907,1.10052,0.43062,0,0,0
22,-0.236885,1.10056,0.430631,0,0,0
23,-0.236858,1.1006,0.430628,0,0,0
24,-0.236861,1.10064,0.43063,0,0,0
25,-0.236794,1.10066,0.430616,0,0,0
26,-0.236764,1.10069,0.430636,0,0,0
27,-0.236723,1.10071,0.430693,0,0,0
28,-0.236694,1.10073,0.430736,0,0,0
29,-0.236675,1.10074,0.430799,0,0,0
30,-0.236663,1.10075,0.430849,0,0,0
31,-0.236671,1.10077,0.430887,0,0,0
32,-0.236665,1.10079,0.430921,0,0,0
33,-0.236638,1.10085,0.430949,0,0,0
34,-0.236626,1.10085,0.43095,0,0,0
35,-0.236603,1.10094,0.430968,0,0,0
36,-0.236597,1.10096,0.430971,0,0,0
37,-0.236611,1.101,0.43099,0,0,0
38,-0.236645,1.10106,0.43101,0,0,0
39,-0.23661,1.10111,0.431064,0,0,0
40,-0.236607,1.10113,0.431098,0,0,0
41,-0.2366,1.10113,0.43111,0,0,0
42,-0.236621,1.10114,0.43112,0,0,0
43,-0.236605,1.10114,0.431114,0,0,0
44,-0.236618,1.10113,0.431089,0,0,0
45,-0.236639,1.10114,0.43107,0,0,0
