Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,RightHandIndex3-Joint-Velo-x,RightHandIndex3-Joint-Velo-y,RightHandIndex3-Joint-Velo-z
0,-0.266009,-0.35508000000000006,0.401813,0,0,0
1,-0.26614499999999996,-0.355,0.401819,0,0,0
2,-0.26626599999999995,-0.3549,0.401863,0,0,0
3,-0.26631499999999997,-0.35484000000000004,0.401904,0,0,0
4,-0.266306,-0.35481000000000007,0.401928,0,0,0
5,-0.266279,-0.3548,0.401963,0,0,0
6,-0.266225,-0.3547800000000001,0.401975,0,0,0
7,-0.266235,-0.35479000000000016,0.401977,0,0,0
8,-0.266293,-0.3547500000000001,0.401965,0,0,0
9,-0.266412,-0.35469000000000017,0.40196,0,0,0
10,-0.266596,-0.3546,0.401967,0,0,0
11,-0.266783,-0.35448000000000013,0.401984,0,0,0
12,-0.26691299999999996,-0.35440000000000005,0.40203,0,0,0
13,-0.266986,-0.3543400000000001,0.402143,0,0,0
14,-0.266959,-0.35429,0.402269,0,0,0
15,-0.266972,-0.35428000000000015,0.402434,0,0,0
16,-0.26703899999999997,-0.3542500000000002,0.402584,0,0,0
17,-0.26710999999999996,-0.35419,0.402733,0,0,0
18,-0.26718299999999995,-0.3540800000000002,0.402866,0,0,0
19,-0.267217,-0.35396000000000005,0.402994,0,0,0
20,-0.2672,-0.35391000000000017,0.403211,0,0,0
21,-0.26725899999999997,-0.35386000000000006,0.40347,0,0,0
22,-0.26749799999999996,-0.35367000000000015,0.403912,0,0,0
23,-0.267874,-0.3533900000000001,0.404561,0,0,0
24,-0.26818299999999995,-0.35299000000000014,0.40539,0,0,0
25,-0.268246,-0.3526,0.406157,0,0,0
26,-0.26807699999999995,-0.3517300000000001,0.407032,0,0,0
27,-0.267696,-0.35030000000000006,0.407671,0,0,0
28,-0.267103,-0.34818000000000016,0.408002,0,0,0
29,-0.26657899999999995,-0.34518000000000004,0.40812,0,0,0
30,-0.26618499999999995,-0.34185,0.408107,0,0,0
31,-0.265489,-0.33816,0.408389,0,0,0
32,-0.264468,-0.33393000000000006,0.40876,0,0,0
33,-0.262889,-0.3293400000000002,0.409231,0,0,0
34,-0.261086,-0.32471000000000005,0.409551,0,0,0
35,-0.258584,-0.31920000000000015,0.410578,0,0,0
36,-0.25536299999999995,-0.3129000000000002,0.411658,0,0,0
37,-0.251262,-0.30603,0.412785,0,0,0
38,-0.24635500000000002,-0.2986,0.413812,0,0,0
39,-0.241507,-0.29146000000000005,0.414511,0,0,0
40,-0.23620500000000003,-0.28342,0.41575,0,0,0
41,-0.230588,-0.27438000000000007,0.416963,0,0,0
42,-0.22476500000000002,-0.26468,0.418233,0,0,0
43,-0.219412,-0.2556200000000002,0.419192,0,0,0
44,-0.21340800000000001,-0.24513000000000007,0.419718,0,0,0
45,-0.207365,-0.23431000000000002,0.422146,0,0,0
46,-0.20101,-0.22287000000000012,0.423409,0,0,0
47,-0.195164,-0.21245000000000003,0.424413,0,0,0
48,-0.188789,-0.20057999999999998,0.425171,0,0,0
49,-0.182115,-0.18785000000000007,0.425693,0,0,0
50,-0.17553,-0.17480000000000007,0.425958,0,0,0
51,-0.170226,-0.16310000000000002,0.426165,0,0,0
52,-0.166263,-0.15322000000000013,0.426051,0,0,0
53,-0.161933,-0.14234000000000013,0.426446,0,0,0
54,-0.158018,-0.13370000000000015,0.428753,0,0,0
55,-0.153884,-0.11943000000000015,0.426429,0,0,0
56,-0.150745,-0.10924,0.426198,0,0,0
57,-0.147457,-0.09779000000000004,0.426488,0,0,0
58,-0.144043,-0.08672999999999997,0.427013,0,0,0
59,-0.140486,-0.07538,0.426991,0,0,0
60,-0.137632,-0.06498000000000004,0.427417,0,0,0
61,-0.134364,-0.054200000000000026,0.426919,0,0,0
62,-0.131129,-0.042769999999999975,0.426938,0,0,0
63,-0.128069,-0.031500000000000083,0.427103,0,0,0
64,-0.125113,-0.020510000000000028,0.427491,0,0,0
65,-0.12224199999999999,-0.011120000000000019,0.42747,0,0,0
66,-0.119204,-0.0010700000000001264,0.428212,0,0,0
67,-0.116307,0.008919999999999817,0.428746,0,0,0
68,-0.113738,0.018669999999999964,0.429408,0,0,0
69,-0.11171,0.02700999999999998,0.429823,0,0,0
70,-0.109515,0.03638999999999992,0.430527,0,0,0
71,-0.10736799999999999,0.045359999999999845,0.431395,0,0,0
72,-0.10524800000000001,0.054239999999999844,0.431999,0,0,0
73,-0.10317100000000001,0.06297999999999981,0.432724,0,0,0
74,-0.10103200000000001,0.07037999999999989,0.433032,0,0,0
75,-0.098691,0.07835999999999999,0.433868,0,0,0
76,-0.095984,0.08610999999999991,0.434265,0,0,0
77,-0.093337,0.09348000000000001,0.434647,0,0,0
78,-0.09106,0.09953999999999996,0.434815,0,0,0
79,-0.088976,0.10621999999999998,0.435516,0,0,0
80,-0.087285,0.11249999999999982,0.436592,0,0,0
81,-0.085484,0.11847999999999992,0.43768,0,0,0
82,-0.083764,0.12344999999999984,0.438081,0,0,0
83,-0.082216,0.12846999999999986,0.438933,0,0,0
84,-0.080599,0.13337999999999983,0.439248,0,0,0
85,-0.080301,0.13657999999999992,0.441889,0,0,0
86,-0.078401,0.14196999999999993,0.440689,0,0,0
87,-0.077568,0.14529999999999998,0.441235,0,0,0
88,-0.075817,0.14989999999999992,0.439414,0,0,0
89,-0.074621,0.15347999999999984,0.439601,0,0,0
90,-0.073342,0.15674999999999994,0.43988,0,0,0
91,-0.072072,0.15927000000000002,0.44011,0,0,0
92,-0.0707586,0.16201,0.440202,0,0,0
93,-0.0697045,0.16457999999999995,0.440036,0,0,0
94,-0.0688747,0.16701999999999995,0.439688,0,0,0
95,-0.0684717,0.1692699999999998,0.43913,0,0,0
96,-0.0684833,0.17167999999999983,0.438974,0,0,0
97,-0.0684651,0.17413999999999996,0.438769,0,0,0
98,-0.0683539,0.1764699999999999,0.438438,0,0,0
99,-0.0679361,0.17860999999999994,0.437836,0,0,0
100,-0.0674334,0.18038999999999983,0.436972,0,0,0
101,-0.0668586,0.18225000000000002,0.436084,0,0,0
102,-0.0665524,0.18399999999999994,0.435458,0,0,0
103,-0.066392,0.1856899999999999,0.434945,0,0,0
104,-0.0664275,0.18728999999999996,0.434731,0,0,0
105,-0.0664541,0.18870999999999993,0.434583,0,0,0
106,-0.0663366,0.19015999999999988,0.43479,0,0,0
107,-0.0661067,0.19140999999999986,0.435205,0,0,0
108,-0.065761,0.19228999999999985,0.435706,0,0,0
109,-0.065662,0.19313999999999987,0.436348,0,0,0
110,-0.0658072,0.19381999999999988,0.436904,0,0,0
111,-0.0663566,0.19443999999999995,0.43746,0,0,0
112,-0.0672223,0.1951099999999999,0.438078,0,0,0
113,-0.068041,0.19569999999999999,0.438798,0,0,0
114,-0.068774,0.19621999999999984,0.439562,0,0,0
115,-0.0695994,0.19663999999999993,0.44123,0,0,0
116,-0.0703244,0.19702999999999982,0.442953,0,0,0
117,-0.0709954,0.1971799999999999,0.444673,0,0,0
118,-0.07169400000000001,0.19709,0.446277,0,0,0
119,-0.072703,0.1969399999999999,0.44783,0,0,0
120,-0.073953,0.19728999999999997,0.447707,0,0,0
121,-0.074952,0.19781999999999988,0.446257,0,0,0
122,-0.076045,0.1982299999999999,0.444721,0,0,0
123,-0.076914,0.19826999999999995,0.443823,0,0,0
124,-0.077251,0.19819999999999993,0.443529,0,0,0
125,-0.077205,0.19811,0.443608,0,0,0
126,-0.077085,0.19796999999999998,0.443791,0,0,0
127,-0.077016,0.19775999999999994,0.443745,0,0,0
128,-0.07688500000000001,0.19726999999999983,0.443533,0,0,0
129,-0.07707800000000001,0.19694999999999996,0.442761,0,0,0
130,-0.077208,0.1963999999999999,0.442647,0,0,0
131,-0.077899,0.19657999999999998,0.441518,0,0,0
132,-0.07802200000000001,0.19618000000000002,0.441647,0,0,0
133,-0.077974,0.19584999999999986,0.441808,0,0,0
134,-0.077471,0.1960799999999998,0.440456,0,0,0
135,-0.077145,0.1959899999999999,0.440008,0,0,0
136,-0.07699600000000001,0.19594999999999985,0.439519,0,0,0
137,-0.077034,0.19585999999999992,0.439065,0,0,0
138,-0.077171,0.19581999999999988,0.438601,0,0,0
139,-0.077145,0.19565999999999995,0.438395,0,0,0
140,-0.07748000000000001,0.19582999999999995,0.437779,0,0,0
141,-0.077413,0.19580999999999982,0.437478,0,0,0
142,-0.077269,0.19572999999999996,0.437212,0,0,0
143,-0.077305,0.19567999999999985,0.437194,0,0,0
144,-0.077394,0.19575999999999993,0.437126,0,0,0
145,-0.077775,0.19596999999999998,0.437115,0,0,0
146,-0.077968,0.19609999999999994,0.437017,0,0,0
147,-0.078717,0.1962499999999998,0.436771,0,0,0
148,-0.079044,0.19629999999999992,0.4365,0,0,0
149,-0.079098,0.19635000000000002,0.436329,0,0,0
150,-0.078936,0.19633999999999996,0.436275,0,0,0
151,-0.07886,0.19628999999999985,0.436387,0,0,0
152,-0.078261,0.19614999999999982,0.436509,0,0,0
153,-0.077922,0.19608999999999988,0.43656,0,0,0
154,-0.077668,0.1959899999999999,0.436539,0,0,0
155,-0.077437,0.19581999999999988,0.436428,0,0,0
156,-0.077396,0.19562999999999997,0.436377,0,0,0
157,-0.07730100000000001,0.19547999999999988,0.436191,0,0,0
158,-0.077406,0.1954499999999999,0.436069,0,0,0
159,-0.077541,0.19552999999999998,0.435967,0,0,0
160,-0.077511,0.19555999999999996,0.435883,0,0,0
161,-0.07731,0.19550999999999985,0.435849,0,0,0
