Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.198729,0.94309,0.247361
1,-0.198768,0.943045,0.247319
2,-0.198814,0.942956,0.24726
3,-0.198834,0.9429,0.247241
4,-0.198891,0.942831,0.247203
5,-0.198963,0.942785,0.247158
6,-0.199017,0.942765,0.247149
7,-0.199049,0.942761,0.247136
8,-0.199067,0.942781,0.247161
9,-0.19908,0.942795,0.247136
10,-0.199127,0.942811,0.247131
11,-0.199149,0.942806,0.247101
12,-0.199188,0.94278,0.247081
13,-0.199208,0.942757,0.247038
14,-0.19926,0.942744,0.247021
15,-0.199302,0.942759,0.247021
16,-0.199328,0.942771,0.247015
17,-0.199365,0.942806,0.247056
18,-0.199395,0.942832,0.247066
19,-0.199432,0.942859,0.247093
20,-0.199455,0.942857,0.24708
21,-0.199514,0.942823,0.247051
22,-0.199564,0.942775,0.246986
23,-0.199614,0.942705,0.246894
24,-0.199658,0.942659,0.246841
25,-0.199669,0.94262,0.246776
26,-0.199672,0.942607,0.246724
27,-0.199652,0.942628,0.24675
28,-0.199689,0.942647,0.246782
29,-0.199743,0.942643,0.246801
30,-0.199801,0.942584,0.246786
31,-0.19983,0.942493,0.246727
32,-0.199897,0.942426,0.246665
33,-0.199941,0.942413,0.24666
34,-0.199938,0.94243,0.24663
35,-0.199955,0.942467,0.246614
36,-0.199957,0.942514,0.246601
37,-0.19997,0.942541,0.246565
38,-0.200025,0.942544,0.246545
39,-0.200111,0.942527,0.246506
40,-0.200185,0.942489,0.246482
41,-0.200256,0.942429,0.246408
42,-0.200325,0.942381,0.246371
43,-0.200333,0.942345,0.246308
44,-0.200346,0.942315,0.246262
45,-0.200285,0.942293,0.246201
46,-0.200241,0.942266,0.24614
47,-0.200249,0.942231,0.246053
48,-0.200295,0.942136,0.245933
49,-0.200291,0.941964,0.2458
50,-0.200249,0.941732,0.245709
51,-0.200234,0.941523,0.24572
52,-0.20017,0.941348,0.245732
53,-0.200012,0.941144,0.245735
54,-0.199729,0.940888,0.245686
55,-0.199405,0.940511,0.245567
56,-0.199266,0.940075,0.2456
57,-0.199295,0.939378,0.245764
58,-0.199465,0.938431,0.245966
59,-0.199483,0.937379,0.246057
60,-0.199086,0.936933,0.246395
61,-0.199092,0.936786,0.246961
62,-0.199267,0.937078,0.248054
63,-0.199478,0.937741,0.249446
64,-0.199887,0.938651,0.251301
65,-0.200278,0.939474,0.253319
66,-0.200248,0.940479,0.25599
67,-0.200038,0.941804,0.259239
68,-0.199781,0.943785,0.263387
69,-0.199517,0.946163,0.267693
70,-0.199318,0.949775,0.273439
71,-0.199392,0.954442,0.280093
72,-0.200778,0.957938,0.28668
73,-0.200083,0.966731,0.295589
74,-0.200939,0.973086,0.303892
75,-0.201657,0.981281,0.313661
76,-0.202208,0.990139,0.323917
77,-0.202286,0.999432,0.333827
78,-0.202858,1.00754,0.343736
79,-0.203124,1.01716,0.354817
80,-0.203521,1.02701,0.366161
81,-0.204261,1.03707,0.377722
82,-0.205182,1.04592,0.3878
83,-0.207186,1.05416,0.39928
84,-0.209179,1.06265,0.410812
85,-0.207052,1.07764,0.415877
86,-0.210548,1.09027,0.434282
87,-0.211935,1.10025,0.445559
88,-0.2132,1.11145,0.457323
89,-0.214346,1.12238,0.468885
90,-0.215564,1.13303,0.480177
91,-0.216767,1.14205,0.489572
92,-0.218254,1.1526,0.500218
93,-0.219781,1.16319,0.510537
94,-0.221057,1.17402,0.520557
95,-0.221957,1.18377,0.528946
96,-0.222937,1.19473,0.538364
97,-0.223811,1.20593,0.547431
98,-0.225013,1.21292,0.555406
99,-0.225609,1.22666,0.563215
100,-0.226674,1.23609,0.570919
101,-0.227693,1.24564,0.578242
102,-0.228724,1.25467,0.585167
103,-0.229678,1.26283,0.591725
104,-0.23048,1.26959,0.597113
105,-0.231412,1.27736,0.6032
106,-0.233267,1.288,0.609218
107,-0.234334,1.29604,0.614835
108,-0.23521,1.30242,0.619381
109,-0.236341,1.30915,0.624448
110,-0.238006,1.30899,0.62456
111,-0.24007,1.30812,0.62469
112,-0.241026,1.32626,0.63904
113,-0.242071,1.33062,0.642826
114,-0.242897,1.33562,0.646863
115,-0.243456,1.3405,0.650506
116,-0.243889,1.34528,0.653861
117,-0.244751,1.3493,0.656625
118,-0.245303,1.35439,0.65979
119,-0.24645,1.35934,0.662825
120,-0.247593,1.36397,0.6656
121,-0.24862,1.36741,0.667686
122,-0.249539,1.37074,0.669798
123,-0.250518,1.37348,0.671751
124,-0.251441,1.3761,0.673638
125,-0.252732,1.37781,0.675122
126,-0.25332,1.3801,0.676789
127,-0.254308,1.38146,0.678046
128,-0.255883,1.38167,0.678882
129,-0.257818,1.38169,0.679408
130,-0.260009,1.3814,0.679596
131,-0.261205,1.38251,0.679944
132,-0.262564,1.38322,0.680057
133,-0.263765,1.38399,0.680043
134,-0.265293,1.38391,0.679739
135,-0.266049,1.38413,0.679472
136,-0.267332,1.38355,0.678893
137,-0.268747,1.3829,0.678187
138,-0.269524,1.38148,0.677398
139,-0.270599,1.38036,0.6766
140,-0.271855,1.37715,0.675774
141,-0.271367,1.37836,0.675587
142,-0.27073,1.3789,0.675705
143,-0.269473,1.38138,0.676332
144,-0.268265,1.3847,0.677095
145,-0.267149,1.38843,0.677926
146,-0.266274,1.3924,0.67862
147,-0.266553,1.39341,0.678718
148,-0.266887,1.39386,0.678751
149,-0.26713,1.39426,0.678791
