Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.17528,0.922173,0.250871
1,-0.17519,0.922172,0.250846
2,-0.175163,0.922299,0.250697
3,-0.175109,0.922317,0.250668
4,-0.175036,0.922379,0.250641
5,-0.174919,0.922466,0.250542
6,-0.174924,0.922483,0.250467
7,-0.174886,0.922485,0.250233
8,-0.17477,0.922442,0.250066
9,-0.174497,0.922392,0.249677
10,-0.174463,0.92241,0.249624
11,-0.174404,0.922443,0.249575
12,-0.174383,0.922448,0.249536
13,-0.174377,0.922437,0.249508
14,-0.174234,0.92239,0.249333
15,-0.174124,0.9224,0.249185
16,-0.174136,0.922487,0.248993
17,-0.17415,0.922512,0.248888
18,-0.174138,0.922512,0.24881
19,-0.17404,0.922494,0.248583
20,-0.174015,0.92248,0.248496
21,-0.173973,0.92244,0.248395
22,-0.173799,0.922424,0.248181
23,-0.173741,0.922433,0.248108
24,-0.17371,0.92242,0.248052
25,-0.173644,0.922401,0.247977
26,-0.173542,0.922323,0.24782
27,-0.173484,0.922297,0.247735
28,-0.173449,0.922314,0.247677
29,-0.173428,0.922332,0.247575
30,-0.17343,0.922369,0.247541
31,-0.173478,0.922424,0.247528
32,-0.173533,0.922462,0.247499
33,-0.173596,0.922497,0.247454
34,-0.173576,0.922501,0.247394
35,-0.17356,0.922446,0.247329
36,-0.17357,0.922371,0.247256
37,-0.173444,0.922179,0.247246
38,-0.172811,0.92197,0.247775
39,-0.172755,0.921738,0.248248
40,-0.172629,0.921748,0.248182
41,-0.172764,0.92184,0.248046
42,-0.173042,0.922253,0.248212
43,-0.174718,0.922797,0.249027
44,-0.176009,0.924488,0.250217
45,-0.176253,0.925976,0.251617
46,-0.17694,0.92705,0.252941
47,-0.177398,0.928377,0.254277
48,-0.177673,0.929874,0.25576
49,-0.177737,0.931407,0.257348
50,-0.178049,0.932957,0.259123
51,-0.178202,0.938025,0.265199
52,-0.177667,0.9411,0.2691
53,-0.177198,0.943723,0.273137
54,-0.177464,0.948548,0.283269
55,-0.171378,0.952491,0.29524
56,-0.169479,0.954177,0.301853
57,-0.16759,0.956021,0.308775
58,-0.165278,0.958422,0.316085
59,-0.155265,0.977679,0.351658
60,-0.1446,1.0072,0.394083
61,-0.137858,1.02609,0.416148
62,-0.134204,1.03623,0.427845
63,-0.128276,1.04609,0.431744
64,-0.115772,1.06677,0.438531
65,-0.108777,1.10001,0.484914
66,-0.0941325,1.14209,0.515056
67,-0.0826024,1.17244,0.53337
68,-0.0712371,1.20241,0.548324
69,-0.0661658,1.21709,0.555704
70,-0.0608665,1.23233,0.562538
71,-0.0556385,1.24693,0.568769
72,-0.0504093,1.26004,0.573447
73,-0.0409054,1.27988,0.577256
74,-0.0366937,1.287,0.575689
75,-0.0286106,1.31112,0.590601
76,-0.0235318,1.32354,0.594182
77,-0.0192445,1.3345,0.597809
78,-0.0161417,1.3421,0.601919
79,-0.0102616,1.35576,0.604211
80,-0.00615647,1.36435,0.606502
81,-0.00149059,1.37307,0.608967
82,0.00210008,1.38136,0.611462
83,0.014143,1.40269,0.616345
84,0.0176015,1.40982,0.618079
85,0.0238326,1.42213,0.620832
86,0.0331378,1.43874,0.623836
87,0.0362847,1.44401,0.624473
88,0.0388068,1.44849,0.625088
89,0.0436387,1.45691,0.627158
90,0.0455669,1.46023,0.628295
91,0.0492748,1.4651,0.629816
92,0.0514105,1.46781,0.63026
93,0.056713,1.47813,0.631372
94,0.0583555,1.48456,0.63299
95,0.0580025,1.48542,0.634314
96,0.0597146,1.48947,0.635023
97,0.0602636,1.49172,0.635501
98,0.0614121,1.49735,0.636337
99,0.061197,1.49973,0.637056
100,0.0600691,1.50341,0.639068
101,0.0590589,1.50454,0.6402
102,0.0576461,1.50885,0.642166
103,0.0576,1.51157,0.642541
104,0.0574533,1.51476,0.642933
105,0.0563945,1.51949,0.643993
106,0.0555466,1.52074,0.644662
107,0.054828,1.52111,0.645225
108,0.0541153,1.52094,0.645715
109,0.0532871,1.52408,0.646286
110,0.052267,1.52586,0.646599
111,0.0510549,1.52823,0.646929
112,0.050514,1.53723,0.64715
113,0.0510969,1.53991,0.646951
114,0.0508657,1.53944,0.647007
115,0.0509737,1.5501,0.646392
116,0.049098,1.55713,0.646571
117,0.0486439,1.5577,0.646721
118,0.0485278,1.55803,0.64676
119,0.0487793,1.56004,0.646511
120,0.0486232,1.56532,0.646025
121,0.0483978,1.56615,0.646003
122,0.0482909,1.5664,0.646015
123,0.0489694,1.56665,0.645727
124,0.0494599,1.56688,0.645511
125,0.0500041,1.56766,0.645224
126,0.0500983,1.56783,0.645163
127,0.050941,1.57078,0.644598
128,0.0513287,1.57118,0.644422
129,0.051698,1.57156,0.644248
130,0.0522051,1.57184,0.644024
131,0.0525745,1.57178,0.643898
132,0.0536003,1.57202,0.643519
133,0.0541389,1.57217,0.643313
134,0.0546486,1.57219,0.643125
135,0.0554114,1.57167,0.642905
136,0.0558465,1.57143,0.64278
137,0.05599,1.57152,0.642715
138,0.0561107,1.57164,0.642646
139,0.0553681,1.57205,0.642778
140,0.0548127,1.57234,0.642903
141,0.0614493,1.57648,0.638788
142,0.0619816,1.57826,0.63788
143,0.0611054,1.57843,0.637632
144,0.0602842,1.57865,0.637553
145,0.0593316,1.57923,0.637401
146,0.060343,1.58147,0.636439
147,0.0615739,1.58386,0.635324
148,0.0631969,1.58628,0.633947
149,0.066221,1.58941,0.63165
