Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.233156,-0.3866400000000001,0.41528,28,24,18,168
1,-0.233168,-0.3867200000000002,0.415159,28,24,18,168
2,-0.233247,-0.3868200000000001,0.41499,28,24,18,168
3,-0.23338,-0.3869500000000001,0.414826,28,24,18,168
4,-0.233571,-0.3870900000000001,0.414668,28,24,18,168
5,-0.233701,-0.38721,0.41455,28,24,18,168
6,-0.23376,-0.3873,0.414459,28,24,18,168
7,-0.233774,-0.3874300000000001,0.414346,28,24,18,168
8,-0.233764,-0.38754,0.414305,28,24,18,168
9,-0.233774,-0.38761,0.414249,28,24,18,168
10,-0.233821,-0.38758,0.414235,28,24,18,168
11,-0.233903,-0.3875200000000001,0.414224,28,24,18,168
12,-0.234021,-0.3874200000000001,0.414179,28,24,18,168
13,-0.2340759999999999,-0.38737,0.414133,28,24,18,168
14,-0.234173,-0.38741,0.414061,28,24,18,168
15,-0.234181,-0.3874600000000001,0.414035,28,24,18,168
16,-0.2341899999999999,-0.3874900000000001,0.414042,28,24,18,168
17,-0.234227,-0.38758,0.414,28,24,18,168
18,-0.234253,-0.3875900000000001,0.414006,28,24,18,168
19,-0.2341859999999999,-0.38754,0.414025,28,24,18,168
20,-0.234133,-0.3874600000000001,0.414003,28,24,18,168
21,-0.234086,-0.38744,0.413908,28,24,18,168
22,-0.2340779999999999,-0.38744,0.413812,28,24,18,168
23,-0.2340529999999999,-0.3874600000000001,0.413742,28,24,18,168
24,-0.2339699999999999,-0.3874600000000001,0.413712,28,24,18,168
25,-0.233899,-0.38748,0.413655,28,24,18,168
26,-0.233875,-0.38747,0.413637,28,24,18,168
27,-0.2338889999999999,-0.3874200000000001,0.41361,28,24,18,168
28,-0.2339619999999999,-0.3873500000000001,0.413546,28,24,18,168
29,-0.234017,-0.3872600000000001,0.413531,28,24,18,168
30,-0.234088,-0.38711,0.413543,28,24,18,168
31,-0.2341029999999999,-0.3869800000000001,0.413543,28,24,18,168
32,-0.234,-0.3868800000000001,0.413516,28,24,18,168
33,-0.23384,-0.38687,0.413462,28,24,18,168
