Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.17528,0.922173,0.250871,28,24,18,168
1,-0.17519,0.922172,0.250846,28,24,18,168
2,-0.17511,0.9222,0.250827,28,24,18,168
3,-0.175047,0.92224,0.250807,28,24,18,168
4,-0.175111,0.922243,0.250727,28,24,18,168
5,-0.175171,0.922281,0.250701,28,24,18,168
6,-0.175109,0.922317,0.250668,28,24,18,168
7,-0.174968,0.922431,0.250604,28,24,18,168
8,-0.174919,0.922466,0.250542,28,24,18,168
9,-0.174927,0.922498,0.250404,28,24,18,168
10,-0.174918,0.922502,0.250316,28,24,18,168
11,-0.174834,0.922465,0.25015,28,24,18,168
12,-0.174627,0.922381,0.249855,28,24,18,168
13,-0.174544,0.922389,0.249768,28,24,18,168
14,-0.174383,0.922448,0.249536,28,24,18,168
15,-0.174377,0.922437,0.249508,28,24,18,168
16,-0.17433,0.922419,0.249449,28,24,18,168
17,-0.1743,0.922408,0.249404,28,24,18,168
18,-0.174234,0.92239,0.249333,28,24,18,168
19,-0.174124,0.9224,0.249185,28,24,18,168
20,-0.174102,0.922453,0.249107,28,24,18,168
21,-0.174136,0.922487,0.248993,28,24,18,168
22,-0.174138,0.922512,0.24881,28,24,18,168
23,-0.17404,0.922494,0.248583,28,24,18,168
24,-0.174015,0.92248,0.248496,28,24,18,168
25,-0.173915,0.922441,0.248327,28,24,18,168
26,-0.17385,0.922425,0.24824,28,24,18,168
27,-0.173741,0.922433,0.248108,28,24,18,168
28,-0.17371,0.92242,0.248052,28,24,18,168
29,-0.173609,0.922387,0.247927,28,24,18,168
30,-0.173542,0.922323,0.24782,28,24,18,168
31,-0.173449,0.922314,0.247677,28,24,18,168
32,-0.173428,0.922332,0.247575,28,24,18,168
33,-0.17343,0.922369,0.247541,28,24,18,168
34,-0.173533,0.922462,0.247499,28,24,18,168
35,-0.17356,0.922446,0.247329,28,24,18,168
36,-0.17357,0.922371,0.247256,28,24,18,168
37,-0.173614,0.922287,0.247229,28,24,18,168
38,-0.173444,0.922179,0.247246,28,24,18,168
39,-0.173127,0.922078,0.247449,28,24,18,168
40,-0.17271,0.921842,0.248107,28,24,18,168
41,-0.172629,0.921748,0.248182,28,24,18,168
42,-0.172764,0.92184,0.248046,28,24,18,168
43,-0.173042,0.922253,0.248212,28,24,18,168
44,-0.173593,0.922378,0.248453,28,24,18,168
45,-0.174184,0.922588,0.2488,28,24,18,168
46,-0.174718,0.922797,0.249027,28,24,18,168
47,-0.176009,0.924488,0.250217,28,24,18,168
48,-0.176388,0.925202,0.250906,28,24,18,168
49,-0.176253,0.925976,0.251617,28,24,18,168
50,-0.177398,0.928377,0.254277,28,24,18,168
51,-0.177673,0.929874,0.25576,28,24,18,168
52,-0.177737,0.931407,0.257348,28,24,18,168
53,-0.178202,0.938025,0.265199,28,24,18,168
54,-0.177667,0.9411,0.2691,28,24,18,168
55,-0.177198,0.943723,0.273137,28,24,18,168
56,-0.177464,0.948548,0.283269,28,24,18,168
57,-0.171378,0.952491,0.29524,28,24,18,168
58,-0.169479,0.954177,0.301853,28,24,18,168
59,-0.165278,0.958422,0.316085,28,24,18,168
60,-0.162336,0.961954,0.323447,28,24,18,168
