Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.2367979999999999,-0.35786,0.402742,28.0,24.0,18.0,168.0
17.0,-0.245883,-0.3033000000000001,0.39878,28.0,24.0,18.0,168.0
21.0,-0.245946,-0.2492000000000001,0.393214,28.0,24.0,18.0,168.0
25.0,-0.2395779999999999,-0.18733,0.385252,28.0,24.0,18.0,168.0
29.0,-0.240297,-0.1246800000000001,0.377324,28.0,24.0,18.0,168.0
33.0,-0.2525179999999999,-0.0662599999999999,0.372493,28.0,24.0,18.0,168.0
37.0,-0.27196,-0.0044300000000001,0.367401,28.0,24.0,18.0,168.0
41.0,-0.2955419999999999,0.0581199999999999,0.365751,28.0,24.0,18.0,168.0
46.0,-0.3175199999999999,0.1179599999999998,0.365687,28.0,24.0,18.0,168.0
51.0,-0.338447,0.1777499999999998,0.361139,28.0,24.0,18.0,168.0
55.0,-0.355944,0.23241,0.361693,28.0,24.0,18.0,168.0
59.0,-0.3748669999999999,0.2866799999999998,0.367772,28.0,24.0,18.0,168.0
64.0,-0.3962369999999999,0.3452799999999998,0.370184,28.0,24.0,18.0,168.0
70.0,-0.414153,0.3981099999999999,0.368034,28.0,24.0,18.0,168.0
79.0,-0.435826,0.44902,0.361816,28.0,24.0,18.0,168.0
97.0,-0.444476,0.4993799999999999,0.350375,28.0,24.0,18.0,168.0
