Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.17519,0.922172,0.250846,28.0,24.0,18.0,168.0
53.0,-0.16759,0.956021,0.308775,28.0,24.0,18.0,168.0
55.0,-0.152686,0.984284,0.361333,28.0,24.0,18.0,168.0
59.0,-0.134204,1.03623,0.427845,28.0,24.0,18.0,168.0
64.0,-0.108777,1.10001,0.484914,28.0,24.0,18.0,168.0
67.0,-0.0885021,1.15714,0.52451,28.0,24.0,18.0,168.0
71.0,-0.0661658,1.21709,0.555704,28.0,24.0,18.0,168.0
74.0,-0.0409054,1.27988,0.577256,28.0,24.0,18.0,168.0
76.0,-0.0192445,1.3345,0.597809,28.0,24.0,18.0,168.0
81.0,0.0110513,1.39644,0.614828,28.0,24.0,18.0,168.0
89.0,0.0388068,1.44849,0.625088,28.0,24.0,18.0,168.0
101.0,0.0609407,1.50189,0.637906,28.0,24.0,18.0,168.0
117.0,0.0499164,1.55571,0.646356,28.0,24.0,18.0,168.0
